timestamp_utc,actuator_name,power_W,Tmotor_degC,Tambient_degC,Tbatt_min_degC,Tbatt_max_degC
2026-05-17 00:00:40,left_elbow,0.0019,48.19,null,null,null
2026-05-17 00:00:40,left_shoulder_j1,0.0047,50.55,null,null,null
2026-05-17 00:00:40,left_shoulder_j2,0.0021,51.47,null,null,null
2026-05-17 00:00:40,left_upper_arm_twist,0.0019,46.5,null,null,null
2026-05-17 00:00:40,left_wrist_pitch,7.0E-4,58.42,null,null,null
2026-05-17 00:00:40,left_wrist_roll,7.0E-4,52.52,null,null,null
2026-05-17 00:00:40,left_wrist_yaw,7.0E-4,61.12,null,null,null
2026-05-17 00:00:44,left_elbow,0.0018,48.19,null,null,null
2026-05-17 00:00:44,left_shoulder_j1,0.0048,50.54,null,null,null
2026-05-17 00:00:44,left_shoulder_j2,0.0017,51.48,null,null,null
2026-05-17 00:00:44,left_upper_arm_twist,0.0019,46.5,null,null,null
2026-05-17 00:00:44,left_wrist_pitch,7.0E-4,58.42,null,null,null
2026-05-17 00:00:44,left_wrist_roll,7.0E-4,52.52,null,null,null
2026-05-17 00:00:44,left_wrist_yaw,7.0E-4,61.11,null,null,null
2026-05-17 00:00:48,left_elbow,0.0018,48.19,null,null,null
2026-05-17 00:00:48,left_shoulder_j1,0.0047,50.53,null,null,null
2026-05-17 00:00:48,left_shoulder_j2,0.0015,51.48,null,null,null
2026-05-17 00:00:48,left_upper_arm_twist,0.0019,46.5,null,null,null
2026-05-17 00:00:48,left_wrist_pitch,7.0E-4,58.42,null,null,null
2026-05-17 00:00:48,left_wrist_roll,7.0E-4,52.52,null,null,null
2026-05-17 00:00:48,left_wrist_yaw,7.0E-4,61.11,null,null,null
2026-05-17 00:00:52,left_elbow,0.0018,48.19,null,null,null
2026-05-17 00:00:52,left_shoulder_j1,0.0047,50.53,null,null,null
2026-05-17 00:00:52,left_shoulder_j2,0.002,51.48,null,null,null
2026-05-17 00:00:52,left_upper_arm_twist,0.0019,46.5,null,null,null
2026-05-17 00:00:52,left_wrist_pitch,7.0E-4,58.41,null,null,null
2026-05-17 00:00:52,left_wrist_roll,7.0E-4,52.52,null,null,null
2026-05-17 00:00:52,left_wrist_yaw,7.0E-4,61.11,null,null,null
2026-05-17 00:00:56,left_elbow,0.0019,48.19,null,null,null
