timestamp_utc,J,power_W,real_power_W,Tmotor_degC,Tamb_filled,Tbatt_max_filled
2026-05-21 17:09:28,ROLL,0.0012,0.0011464974459724953,35.67,25.02,36.05
2026-05-21 17:09:28,YAW,0.0192,0.018633203929273083,39.93,25.02,36.05
2026-05-21 17:09:28,TWIST,0.0184,0.0038032286679764243,33.89,25.02,36.05
2026-05-21 17:09:28,PITCH,0.0128,0.012359669941060905,38.55,25.02,36.05
2026-05-21 17:09:28,J2,1.0948,0.2305078385540275,38.89,25.02,36.05
2026-05-21 17:09:28,J1,0.0035,0.0007249150491159136,40.04,25.02,36.05
2026-05-21 17:09:28,ELBOW,0.0451,0.009294604950884088,33.1,25.02,36.05
2026-05-21 17:09:32,ROLL,0.0009,0.0008599367387033399,35.69,25.02,36.05
2026-05-21 17:09:32,PITCH,0.0105,0.010139905697445972,38.58,25.02,36.05
2026-05-21 17:09:32,TWIST,0.0183,0.0037826998821218075,33.9,25.02,36.05
2026-05-21 17:09:32,YAW,0.0189,0.018344733595284875,39.97,25.02,36.05
2026-05-21 17:09:32,J1,0.0073,0.0015120758192534382,40.06,25.02,36.05
2026-05-21 17:09:32,ELBOW,0.0429,0.008841870365422397,33.12,25.02,36.05
2026-05-21 17:09:32,J2,1.1299,0.23791547333595284,38.91,25.02,36.05
2026-05-21 17:09:36,ELBOW,0.0448,0.009234158396856582,33.14,25.02,36.05
2026-05-21 17:09:36,J1,0.0023,0.00047644215324165026,40.08,25.02,36.05
2026-05-21 17:09:36,J2,1.1201,0.235869205611002,38.93,25.02,36.05
2026-05-21 17:09:36,TWIST,0.0166,0.003431557218074657,33.92,25.02,36.05
2026-05-21 17:09:36,PITCH,0.0119,0.011493997249508841,38.63,25.02,36.05
2026-05-21 17:09:36,ROLL,0.0009,0.000860064047151277,35.73,25.02,36.05
2026-05-21 17:09:36,YAW,0.0188,0.0182516605108055,40.03,25.02,36.05
2026-05-21 17:09:40,ROLL,0.0009,0.0008601595284872298,35.76,25.02,36.05
2026-05-21 17:09:40,YAW,0.0196,0.01903179253438114,40.08,25.02,36.05
2026-05-21 17:09:40,PITCH,0.0118,0.01139907819253438,38.67,25.02,36.05
2026-05-21 17:09:40,ELBOW,0.0412,0.008492762404715129,33.16,25.02,36.05
2026-05-21 17:09:40,J2,1.1178,0.23541070038506876,38.96,25.02,36.05
2026-05-21 17:09:40,J1,0.0088,0.0018229754970530455,40.09,25.02,36.05
2026-05-21 17:09:40,TWIST,0.0199,0.004113887512770138,33.93,25.02,36.05
2026-05-21 17:09:44,ELBOW,0.0419,0.008638024974459724,33.19,25.02,36.05
2026-05-21 17:09:44,J1,0.0069,0.0014294826247544207,40.11,25.02,36.05
2026-05-21 17:09:44,J2,1.1284,0.2376604600078586,38.98,25.02,36.05
2026-05-21 17:09:44,TWIST,0.0154,0.0031838486444007857,33.95,25.02,36.05
2026-05-21 17:09:44,PITCH,0.0133,0.012849994891944988,38.71,25.02,36.05
2026-05-21 17:09:44,ROLL,0.0012,0.0011470066797642437,35.79,25.02,36.05
2026-05-21 17:09:44,YAW,0.0185,0.017966952848722986,40.13,25.02,36.05
2026-05-21 17:09:48,PITCH,0.0117,0.011305785854616897,38.75,25.02,36.05
2026-05-21 17:09:48,YAW,0.0184,0.017873087622789788,40.18,25.02,36.05
2026-05-21 17:09:48,ROLL,0.0009,0.0008603504911591356,35.82,25.02,36.05
2026-05-21 17:09:48,TWIST,0.019,0.003928271277013752,33.96,25.02,36.05
2026-05-21 17:09:48,J1,0.003,0.0006215368172888016,40.12,25.02,36.05
2026-05-21 17:09:48,ELBOW,0.0457,0.009422129713163065,33.21,25.02,36.05
2026-05-21 17:09:48,J2,1.1279,0.23757252416502947,39.0,25.02,36.05
