t_s,Tm_HIP_X,Tm_HIP_Y,Tm_SHIN_ANKLE,Tm_SHIN_KNEE,Tm_SPN_X,Tm_SPN_Z,Tm_TALUS,Tm_THIGH_U,P_HIP_X,P_HIP_Y,P_SHIN_ANKLE,P_SHIN_KNEE,P_SPN_X,P_SPN_Z,P_TALUS,P_THIGH_U,Ts_spine,Ts_pelvis,Ts_hip,Ts_thigh_u,Ts_thigh_l,Ts_shin,Ts_ankle,T_amb,T_torso
0.0,34.84523412376582,34.656329073817275,31.868569327596095,30.958446835793712,36.81161832504425,37.7497792896865,47.1465879840878,33.48479206174439,25.842879725172068,22.27048031690603,26.453874991670418,21.52090971020988,10.485983061570703,10.939740011580133,213.5067504369379,27.41656141110305,34.32543589743589,29.532068376068377,27.823487179487195,25.03287179487179,25.80121367521367,23.560547008547008,41.194547008547005,22.37252991452991,22.37252991452991
2.0,35.190609830655156,34.87324878462087,32.216901883702,31.16359007195919,37.028119351265524,37.973497099339994,52.31205702371506,33.82498375346818,27.12429343494737,21.94538573082429,26.299878062186234,21.595519485732794,11.012555688064777,11.038514063235628,215.69378797113524,26.903213561185424,34.362538461538456,29.583666666666666,27.825538461538475,25.047384615384612,25.80817948717948,23.57848717948718,41.20117948717948,22.365743589743584,22.365743589743584
4.0,35.531309760110915,35.0869058030075,32.55964184288761,31.366457202759165,37.242217152897666,38.193898032946045,57.29467545894932,34.1601405766689,26.994240653288355,21.975123037005623,26.76151626430201,21.54549954933976,11.067418527203213,11.105372065908433,218.67842699908113,27.02800541432289,34.401525083612036,29.632186176142696,27.829501672240816,25.061234113712374,25.815158305462646,23.595342251950946,41.24159308807135,22.36051059085841,22.36051059085841
6.0,35.8673339121331,35.29730012897716,32.89678920515293,31.56704822819363,37.45391172994066,38.41098209050467,62.09444328979059,34.490262531346545,27.059049804677276,22.038554670980826,26.68762576316701,21.58823731482162,11.017249213297099,11.072031858220294,221.95267653201032,27.162187856424016,34.44239576365663,29.677626904496467,27.835376811594212,25.07442028985507,25.822150130063164,23.611112225938314,41.31578781122259,22.35683091787439,22.35683091787439
8.0,36.19868228672171,35.50443176252987,33.22834397049795,31.765363148262594,37.66320308239451,38.624749272015855,66.71136051623884,34.81534961750112,27.11811428145377,22.001446518736046,26.677375329570918,21.671362260255112,11.066427346700959,11.080315438775187,225.53430174054154,27.03973122929849,34.48515050167224,29.719988851727976,27.84316387959867,25.086943143812707,25.82915496098104,23.625797101449276,41.42376365663322,22.35470457079152,22.35470457079152
10.0,36.52535488387675,35.70830070366561,33.55430613892268,31.961401962966054,37.870091210259226,38.83519957747961,71.14542713829411,35.13540183513262,27.311063815179264,22.0290457454732,26.7856897404598,21.73801451352245,11.120906681741369,11.068707757678174,229.20812365862975,26.84623438456917,34.52978929765886,29.75927201783723,27.85286287625419,25.098802675585283,25.836172798216268,23.639396878483833,41.565520624303225,22.354131549609804,22.354131549609804
12.0,36.84735170359821,35.90890695238438,33.87467571042711,32.155164672304004,38.0745761135348,39.04233300689592,75.39664315595637,35.45041918424104,27.200131899598375,22.017448664128274,26.81159688568803,21.78108590417498,11.071963649268374,11.131375965133865,231.98346425923708,26.817276261002494,34.57631215161649,29.79547640282422,27.864473801560763,25.109998885172796,25.84320364176885,23.65191155704199,41.74105871423262,22.355111854329238,22.355111854329238
14.0,37.1646727458861,36.106250508686195,34.18945268501126,32.346651276276454,38.276657792221236,39.246149560264804,79.46500856922563,35.7604016648264,27.09381649204245,21.993199946266124,26.985255916329795,21.767137544933878,11.046001629884081,11.187507374145307,234.83169597769145,26.952709273965716,34.62471906354514,29.828602006688953,27.8779966555184,25.120531772575248,25.850247491638783,23.663341137123744,41.950377926421396,22.357645484949824,22.357645484949824
16.0,37.47731801074041,36.300331372571044,34.49863706267511,32.5358617748834,38.47633624631853,39.44664923758625,83.35052337810191,36.065349276888675,26.966856551921833,22.035782682112465,27.019505492435204,21.837657745393614,11.101618233293403,11.153009154058678,237.84157866552175,27.149842999134464,34.675010033444806,29.858648829431427,27.893431438127095,25.13040133779264,25.857304347826073,23.673685618729095,42.19347826086956,22.36173244147156,22.36173244147156
18.0,37.785287498161146,36.491149544038926,34.80222884341866,32.72279616812484,38.67361147582668,39.64383203886026,87.05318758258517,36.36526202042788,27.144710446124797,22.05624118409718,26.968355464963498,21.774070048641263,11.116461626045265,11.127656550472926,241.12949447630152,27.11463733891388,34.72718506131549,29.885616871051642,27.910778149386847,25.13960758082497,25.864374210330716,23.68294500185804,42.470359717577104,22.36737272389445,22.36737272389445
20.0,38.08858120814831,36.67870502308985,35.10022802724192,32.90745445600077,38.868483480745695,39.83769796408684,90.57300118267543,36.66013989544401,27.180546887450785,22.096018512747623,26.905156449561336,22.006505933670237,11.15502875750535,11.162867606479221,244.02760414638382,27.101708498344546,34.78124414715718,29.9095061315496,27.93003678929766,25.148150501672237,25.871457079152716,23.691119286510588,42.78102229654403,22.374566332218496,22.374566332218496
22.0,38.3871991407019,36.86299780972381,35.39263461414489,33.089836638511194,39.06095226107556,40.02824701326598,93.90996417837269,36.94998290193707,27.30982831536416,22.090558027390582,26.94811594998479,22.06073888672084,11.156887145882246,11.212929244964936,246.07519793838196,27.04856150719963,34.83718729096989,29.930316610925296,27.95120735785953,25.156030100334444,25.87855295429207,23.69820847268673,43.125465997770334,22.38331326644369,22.38331326644369
24.0,38.68114129582189,37.044027903940766,35.679448604127536,33.269942715656086,39.25101781681626,40.215479186397666,97.0640765696769,37.23479103990704,27.49960220252082,22.134873921858873,27.089397993635036,21.682129265175096,11.122116281677764,11.179235761591096,248.27601480217157,27.06851847113005,34.89501449275359,29.948048309178713,27.97428985507243,25.163246376811564,25.885661835748763,23.704212560386445,43.50369082125599,22.39361352657002,22.39361352657002
