t_s,Tm_HIP_X,Tm_HIP_Y,Tm_SHIN_ANKLE,Tm_SHIN_KNEE,Tm_SPN_X,Tm_SPN_Z,Tm_TALUS,Tm_THIGH_U,P_HIP_X,P_HIP_Y,P_SHIN_ANKLE,P_SHIN_KNEE,P_SPN_X,P_SPN_Z,P_TALUS,P_THIGH_U,Ts_spine,Ts_pelvis,Ts_hip,Ts_thigh_u,Ts_thigh_l,Ts_shin,Ts_ankle,T_amb,T_torso
0.0,60.60629222073074,62.319110664998846,51.49793964240041,50.68227931957001,56.67269403756079,53.98509387863753,41.29225858934556,55.40767246828739,5.488493836953402,14.84958798792814,10.779537828376197,7.1574394980741145,0.8877831767462103,2.204186623357099,1.6300169266569313,7.0843034516934384,49.794905982906,48.22917094017093,49.2917606837607,34.519247863247855,38.67523931623934,31.092829059829064,36.67037606837608,23.02588034188034,23.02588034188034
2.0,60.6648500349784,62.4442298211136,51.613214516820605,50.741599264654845,56.69186719620026,54.03104288030535,41.318172016190374,55.48299389035281,5.517563035430935,15.011725379572404,10.770659735844331,7.1088170793803265,0.886221328232003,2.1753223781004674,1.6293097926131601,7.119938058272092,49.800756410256426,48.18720512820512,49.247820512820525,34.51908974358974,38.67071794871797,31.096256410256416,36.66816666666668,23.02802564102564,23.02802564102564
4.0,60.72253617156431,62.567402052883374,51.726411821620594,50.80003570181652,56.71028322564083,54.07571774026229,41.3433659834438,55.55741523061857,5.455748132193868,14.978611196081989,10.684627575367728,7.098367696800166,0.8806733449898925,2.170364758190216,1.658497809587984,7.0074396199451146,49.80648606465999,48.149080824972124,49.20580992196211,34.51852564102563,38.66515328874027,31.099521181716838,36.6663065774805,23.030153288740244,23.030153288740244
6.0,60.779350630488466,62.688627360308175,51.83753155680038,50.85758863105504,56.72794212588248,54.11911845850836,41.36784049110585,55.63093648908467,5.452799201425825,15.037602749941083,10.739194506485866,7.137485564145578,0.8812487512328471,2.179351099233496,1.6467748751232847,7.0388656856829135,49.8120949461167,48.11479803047194,49.16572891118545,34.517555555555546,38.658545336306226,31.102623374210335,36.664795800817544,23.032263285024154,23.032263285024154
8.0,60.835293411750875,62.80790574338799,51.94657372235996,50.914258052370386,56.744843896925225,54.16124503504355,41.39159553917652,55.7035576657511,5.541642143742791,15.182595268609125,10.799383293962958,7.114823241481041,0.8858357852516161,2.2163154613279747,1.649009675702254,7.16921631012441,49.817583054626546,48.084356744704564,49.12757748049054,34.51617948717948,38.65089409141585,31.105562987736903,36.663634336677816,23.034355629877368,23.034355629877368
10.0,60.89036451535153,62.92523720212284,52.053538318299324,50.97004396576258,56.760988538769055,54.202097469867866,41.4146311276558,55.77527876061787,5.5125434370749025,15.003004073437637,10.738900905241257,7.172509503701059,0.8967690045898523,2.206763348090123,1.6618914030203369,7.123116289014098,49.82295039018953,48.05775696767,49.09135562987738,34.51439743589743,38.64219955406914,31.108340022296545,36.662822185061316,23.036430323299886,23.036430323299886
12.0,60.944563941290426,63.0406217365127,52.15842534461849,51.02494637123161,56.776376051413976,54.2416757629813,41.4369472565437,55.84609977368498,5.456323629411055,15.05093494519737,10.74968898304198,7.207763110325783,0.8978642821318902,2.1766357674984156,1.673025124598995,7.13671316100255,49.828196952805655,48.03499869936826,49.057063359345975,34.5122094017094,38.632461724266086,31.110954477889262,36.66235934596804,23.038487365291708,23.038487365291708
14.0,60.99789168956758,63.15405934655758,52.26123480131745,51.078965268777466,56.79100643485999,54.279979914383865,41.45854392584021,55.91602070495244,5.479082747286922,15.025227114932797,10.778533800524748,7.177896478235815,0.8891228878100603,2.1649544006052315,1.6607816908490944,7.163631692220523,49.83332274247493,48.01608193979932,49.02470066889633,34.50961538461538,38.621680602006705,31.113406354515053,36.66224581939799,23.040526755852838,23.040526755852838
16.0,61.05034776018298,63.26555003225749,52.36196668839621,51.13210065840017,56.80487968910708,54.31700992407555,41.47942113554534,55.98504155442023,5.487904522594386,15.001643707753159,10.776956692834,7.1873410743139585,0.8826610390353523,2.1948709331995326,1.656403778310372,7.105342667573381,49.83832775919733,48.0010066889632,48.994267558528435,34.50661538461538,38.60985618729098,31.115695652173915,36.66248160535117,23.042548494983272,23.042548494983272
18.0,61.10193215313662,63.375093793612415,52.460621005854755,51.18435254009971,56.817995814155275,54.35276579205636,41.49957888565908,56.053162322088355,5.475631969802893,15.007802921478174,10.69199084924741,7.135433900088555,0.8975697412740542,2.2094441621231202,1.675510538422105,7.1188745619087435,49.84321200297288,47.989772946859894,48.96576402824229,34.50320940170939,38.596988480118924,31.117822370865852,36.66306670382757,23.04455258268301,23.04455258268301
