t_s,Tm_HIP_X,Tm_HIP_Y,Tm_SHIN_ANKLE,Tm_SHIN_KNEE,Tm_SPN_X,Tm_SPN_Z,Tm_TALUS,Tm_THIGH_U,P_HIP_X,P_HIP_Y,P_SHIN_ANKLE,P_SHIN_KNEE,P_SPN_X,P_SPN_Z,P_TALUS,P_THIGH_U,Ts_spine,Ts_pelvis,Ts_hip,Ts_thigh_u,Ts_thigh_l,Ts_shin,Ts_ankle,T_amb,T_torso
0.0,39.61376278718778,39.60000932272784,36.296585419185284,35.26593810937422,41.03824338017106,40.906834900028564,38.916376435607724,37.300629778666995,6.67499974295987,5.5167877612233704,7.120464156826463,5.2626334706814335,5.690046166669657,5.659335295627353,51.261345403350184,8.32857511594109,37.92473504273503,34.24615384615386,32.957470085470085,27.82894017094017,30.94835042735043,26.460264957264947,34.91263247863247,22.930717948717938,22.930717948717938
2.0,39.7223670358905,39.668441122165014,36.39835000638852,35.33182613188932,41.108468199182816,40.97531773537394,40.09113512095614,37.402852235066064,6.849645040745691,5.507808397594981,6.760173792230393,5.303364125383463,5.610827733894441,5.659649871302998,51.341360561993625,6.747799237719263,37.93935897435896,34.25726923076924,32.97925641025641,27.839397435897435,30.94770512820513,26.452871794871786,34.929858974358964,22.93853846153845,22.93853846153845
4.0,39.82908957139806,39.73580104421691,36.498412516015925,35.396875763209025,41.177455243328524,41.04277342028184,41.229393098265845,37.50341062654596,6.926800502042983,5.561262563115574,6.811936181056567,5.45361909554048,5.578383920010682,5.602082160904866,51.666057037966986,6.823987186274593,37.95428483835004,34.26815050167225,33.00014158305463,27.849197881828317,30.947303232998884,26.44603790412485,34.9540707915273,22.94633110367892,22.94633110367892
6.0,39.93393039371045,39.802089088883534,36.596772948067496,35.46108700333333,41.24520451260819,41.10920195475225,42.33115036753683,37.602304953106675,6.857109273572179,5.560582431990081,6.871105659424286,5.472906929666591,5.615214885732041,5.589109859548576,51.81982636141654,6.8644733039718355,37.96951263470827,34.278797658862885,33.020125603864734,27.858341508732813,30.947144741731698,26.439763285024146,34.98526793013748,22.954095875139345,22.954095875139345
8.0,40.03688950282768,39.86730525616488,36.693431302543246,35.52445985226225,41.31171600702182,41.17460333878518,43.396406928769096,37.699535214748224,6.822443380855398,5.5248558044806515,6.7944749490835035,5.469103054989817,5.587149898167007,5.59247617107943,51.80679857433808,6.812730957230142,37.98504236343365,34.289210702341144,33.03920847268673,27.866828316610928,30.947229654403564,26.43404793756967,35.0234503901895,22.961832775919724,22.961832775919724
10.0,40.137966898749745,39.93144954606095,36.78838757944316,35.58699430999575,41.376989726569406,41.23897757238063,44.42516278196264,37.795101411470604,6.762903895570919,5.521463505482145,6.669723212757721,5.398705343242565,5.558863205413857,5.642010883872244,52.2844677431575,6.733723065381989,38.00087402452618,34.29938963210703,33.05739018952062,27.874658305462653,30.947557971014486,26.428891861761418,35.068618171683376,22.969541806020057,22.969541806020057
12.0,40.237162581476646,39.994521958571745,36.881641778767246,35.64869037653387,41.44102567125095,41.302324655538584,45.41741792711748,37.8890035432738,6.748901480074329,5.56558045302147,6.7562092302916,5.422371864637907,5.545662882575345,5.5899677696106,52.606261054980365,6.7399193483953,38.01700761798586,34.309334448160534,33.0746707543664,27.881831475287996,30.948129691564468,26.424295057599398,35.12077127461908,22.977222965440347,22.977222965440347
14.0,40.33447655100838,40.056522493697265,36.973193900515504,35.70954805187659,41.50382384106645,41.36464458825906,46.37317236423359,37.98124161015784,6.7866208974592,5.482576234560001,6.916306515072,5.525077699097601,5.581452253248,5.5210964494976,52.8367857078016,6.857209508736,38.03344314381269,34.31904515050167,33.091050167224076,27.888347826086957,30.948944816053505,26.420257525083603,35.17990969899664,22.984876254180595,22.984876254180595
16.0,40.42990880734496,40.11745115143751,37.063043944687934,35.769567336023904,41.56538423601591,41.42593737054205,47.292426093310986,38.07181561212269,6.790979214226486,5.297435394743346,7.032268536948329,5.5266960676807475,5.650033146179651,5.561897753528237,53.00554325875427,6.913191571494729,38.05018060200667,34.32852173913044,33.10652842809364,27.894207357859532,30.950003344481598,26.41677926421404,35.246033444816035,22.992501672240795,22.992501672240795
18.0,40.52345935048637,40.17730793179247,37.15119191128453,35.828748228975826,41.62570685609933,41.486203002387555,48.17517911434967,38.160725549168376,6.864672355359681,5.469100796691417,6.79853338285988,5.526103145772455,5.654174002535728,5.605385181815569,53.0148293930028,6.809214467231937,38.0672199925678,34.33776421404682,33.121105536975094,27.89941007060572,30.951305276848746,26.4138602749907,35.31914251207727,23.00009921962095,23.00009921962095
20.0,40.61512818043261,40.23609283476216,37.23763780030529,35.88709073073235,41.6847917013167,41.54544148379558,49.02143142734963,38.247971421294885,6.8803185534,5.5527446249,6.79359663175,5.4931528317,5.60551196585,5.53195757095,53.04405561055,6.83755874335,38.08456131549608,34.34677257525083,33.134781493868445,27.90395596432553,30.95285061315495,26.411500557413593,35.39923690078036,23.00766889632106,23.00766889632106
22.0,40.704915297183696,40.29380586034657,37.32238161175024,35.94459484129348,41.742638771668034,41.603652814766114,49.831183032310875,38.333553228502225,6.8878419618453846,5.638443023093583,6.874140948898099,5.485688877873496,5.4609385251810565,5.491278564075459,53.33473927886685,6.643492873751612,38.10220457079151,34.35554682274247,33.14755629877369,27.90784503901895,30.95463935340021,26.40970011148271,35.48631661092528,23.01521070234113,23.01521070234113
24.0,40.79282070073957,40.35044700854567,37.40542334561932,36.001260560659176,41.799248067153286,41.660836995299135,50.60443392923338,38.417470970790355,6.8832265832206065,5.650628860622457,6.867783030972499,5.4457225307472195,5.4535830437530555,5.519923798225862,53.79023747541752,6.622828362802929,38.12014975845406,34.3640869565217,33.15942995169078,27.91107729468596,30.956671497584505,26.408458937198038,35.58038164251204,23.022724637681133,23.022724637681133
26.0,40.87954223518385,40.40571437716056,37.491689405962475,36.054642442059205,41.85668277532911,41.715348343984175,51.35642153890875,38.5059977003017,6.850826317761562,5.5727157918374886,6.7151947348051815,5.432568420585274,5.6300473684804855,5.520731579671368,54.072578945303135,6.836778948793457,38.13626086956518,34.37713043478257,33.170792270531365,27.913642512077264,30.959323671497547,26.409743961352625,35.683014492753586,23.034318840579683,23.034318840579683
