t_s,Tm_HIP_X,Tm_HIP_Y,Tm_SHIN_ANKLE,Tm_SHIN_KNEE,Tm_SPN_X,Tm_SPN_Z,Tm_TALUS,Tm_THIGH_U,P_HIP_X,P_HIP_Y,P_SHIN_ANKLE,P_SHIN_KNEE,P_SPN_X,P_SPN_Z,P_TALUS,P_THIGH_U,Ts_spine,Ts_pelvis,Ts_hip,Ts_thigh_u,Ts_thigh_l,Ts_shin,Ts_ankle,T_amb
0.0,70.76170963547322,69.8665673963493,55.042267535046065,56.521114038183256,65.79238264167253,59.956739481148894,,64.03015306093326,69.67625925032125,56.99500906516994,65.20436422862328,53.02528925005998,27.458176852878932,26.93608098048251,0.0,67.11175629787628,54.97541025641027,54.37600854700855,54.49329059829059,38.34688034188034,42.591547008547025,34.07340170940171,40.58546153846154,23.174940170940168
2.0,71.53688006666152,70.33171322659213,55.871619452277734,57.01190288005032,66.26751798821455,60.42309289620697,,64.82391108534175,68.65251433548923,55.41375929508907,65.55621370073146,53.21803102694158,27.48391519886566,27.055612230334827,0.0,67.32005223722597,55.01957692307693,54.376448717948726,54.45921794871794,38.350256410256414,42.600679487179505,34.05755128205128,40.56757692307692,23.168435897435895
4.0,72.3039855072599,70.789947455295,56.68631956037498,57.49582021912306,66.7361865744751,60.884227940167015,,65.60579681388018,69.02246438323154,55.77284735935466,65.56676732582918,53.47786360799231,27.663627880996057,27.017398141544973,0.0,67.54660097901225,55.06867391304349,54.37745094760313,54.42641248606465,38.354041248606464,42.60989743589745,34.04223132664436,40.550193979933105,23.16259587513935
6.0,73.06302595726832,71.2412700824579,57.48636785933781,57.972866055401475,67.19838840045416,61.34014461302904,,66.37581024654855,69.05788525792859,56.13136299226969,65.4516988525381,53.18613584596398,27.61641560016455,27.065364880318782,0.0,67.62146531008058,55.12270122630993,54.379015235971764,54.39487421033072,38.35823485693051,42.619200854700864,34.027441843180966,40.5333127090301,23.157420104050537
8.0,73.81400141668682,71.68568110808084,58.271764349166226,58.443040388885564,67.65412346615177,61.79084291479303,,67.13395138334687,68.95827857820838,56.498714016601305,65.94462932944917,53.65250871209714,27.651904305309834,27.18387857984842,0.0,67.44275105075309,55.18165886287626,54.381141583054635,54.364603121516154,38.36283723522854,42.62858974358976,34.013182831661084,40.51693311036789,23.15290858416945
10.0,74.55691188551539,72.12318053216381,59.04250902986021,58.90634321957532,68.1033917715679,62.236322845459,,67.88022022427512,69.65420808909808,56.14362340484066,66.48035192772048,53.88264263265605,27.75631807941131,27.067388494005623,0.0,68.01033261767326,55.245546822742476,54.38382998885174,54.335599219620946,38.36784838350055,42.638064102564115,33.99945429208472,40.501055183946484,23.149061315496095
12.0,75.29175736375402,72.55376835470683,59.79860190141979,59.36277454747076,68.54619331670256,62.676584405026944,,68.61461676933331,69.87328800873178,56.08531365871628,66.25138427133022,53.81990456143876,27.699860956378295,27.14619656296434,0.0,68.15725163864806,55.314365105908585,54.38708045336307,54.307862504645094,38.373268301746556,42.64762393162394,33.986256224451864,40.48567892976588,23.145878298030468
14.0,76.01853785140271,72.97744457570987,60.54004296384494,59.81233437257186,68.98252810155574,63.11162759349686,,69.33714101852144,69.75482828094489,56.260403991274536,66.24659141293841,53.85523408021281,27.774281527187988,27.15900608211978,0.0,68.68697741298493,55.388113712374576,54.39089297658863,54.28139297658861,38.37909698996655,42.65726923076924,33.97358862876253,40.470804347826075,23.14335953177257
16.0,76.73725334846146,73.39420919517295,61.26683221713567,60.25502269487864,69.41239612612745,63.54145241086875,,70.04779297183951,70.21630413934552,56.63718323056836,66.3522082685719,53.893234093831914,27.853946875252507,27.33922246339163,0.0,68.32793635531586,55.46679264214046,54.39526755852843,54.25619063545148,38.38533444816053,42.667,33.96145150501671,40.45643143812708,23.1415050167224
18.0,77.44790385493029,73.80406221309606,61.978969661291984,60.690839514391094,69.8357973904177,63.96605885714261,,70.74657262928753,70.5078832077553,56.40890292894118,66.52332501973333,53.9233505945349,27.856252653540395,27.232882791454117,0.0,69.07650262367373,55.550401895206235,54.40020419918246,54.23225548123372,38.391980676328494,42.676816239316246,33.94984485321441,40.442560200668886,23.140314752879966
