t_s,Tm_HIP_X,Tm_HIP_Y,Tm_SHIN_ANKLE,Tm_SHIN_KNEE,Tm_SPN_X,Tm_SPN_Z,Tm_TALUS,Tm_THIGH_U,P_HIP_X,P_HIP_Y,P_SHIN_ANKLE,P_SHIN_KNEE,P_SPN_X,P_SPN_Z,P_TALUS,P_THIGH_U,Ts_spine,Ts_pelvis,Ts_hip,Ts_thigh_u,Ts_thigh_l,Ts_shin,Ts_ankle,T_amb,T_torso
0.0,45.0036993789679,45.759241542577264,40.870871641291856,39.86111133287586,45.09327436823898,44.92936664230798,39.74095683011282,42.575215008529895,5.2105995706230575,14.154968672623156,10.247118451342407,6.830890121693424,1.684873823828003,4.2208918444750125,1.6374433459758546,6.829106864757251,41.735444444444454,38.43320512820512,36.66516239316237,29.493170940170938,31.60558119658119,28.084470085470077,35.44915384615385,23.082153846153847,23.082153846153847
2.0,45.09991314890006,45.89171287045041,41.0104659531309,39.92652786520703,45.13164841496262,44.98797562724318,39.78967673892376,42.65907574135937,5.169528540354203,13.94030864040095,10.437123639780825,6.849495656902621,1.6595633366512643,4.22426772554245,1.6241105532464313,6.86985778129005,41.74875641025642,38.406730769230755,36.68971794871793,29.498397435897434,31.6156282051282,28.08979487179486,35.45376923076923,23.099153846153847,23.099153846153847
4.0,45.19348661387245,46.02260661408035,41.14751778284109,39.99141701317655,45.16876472088609,45.04548913713419,39.83640779702741,42.7421223899241,5.082087159047827,14.23378998101944,10.366964281560819,6.77903287233044,1.7672871392992675,4.28847142590694,1.658044277611107,6.8181485703627756,41.76224024526199,38.381989966555174,36.71264492753621,29.502875139353396,31.625032329988844,28.094670011148263,35.45804180602007,23.1154347826087,23.1154347826087
6.0,45.284419773885084,46.15192277346708,41.28202713042244,40.05577877678442,45.204623286009394,45.10190717198101,39.88115000442378,42.82435495422408,5.164249949866667,14.122378116533334,10.385162490666666,6.8615968232,1.6938031490666667,4.2888062512000005,1.6336031128,6.794493674133333,41.77589594946118,38.35898272017836,36.73394332961722,29.50660405053883,31.633793571163128,28.099095503530275,35.46197157190635,23.130996655518395,23.130996655518395
8.0,45.372712628937954,46.279661348610595,41.413993995874954,40.119613156030645,45.23922411033254,45.157229731783644,39.923903361112856,42.9057734342593,5.237967334886233,14.21056142204288,10.426723901797324,6.854746543617612,1.721743582380092,4.215596014761831,1.6406554225143273,6.704272242992312,41.78972352285397,38.33770903010032,36.75361315496096,29.50958416945373,31.64191192865105,28.103071348940905,35.46555852842809,23.145839464882943,23.145839464882943
10.0,45.45836517903106,46.40582233951089,41.54341837919862,40.182920150915216,45.27256719385552,45.21145681654209,39.96466786709465,42.98637783002978,5.1657106182463135,14.158581811010698,10.283071803979883,6.849094662704586,1.7448827629880233,4.2402340543798065,1.649826779323033,6.686268857896684,41.803722965440365,38.318168896321055,36.771654403567425,29.5118154960981,31.64938740245261,28.106597547380147,35.46880267558528,23.159963210702344,23.159963210702344
12.0,45.54137742416441,46.53040574616798,41.67030028039344,40.24569976143814,45.30465253657834,45.264588426256346,40.003443522369146,43.06616814153551,5.106951611287131,14.11908763973343,10.348330658773786,6.8577709660015245,1.756737103922308,4.186347831706034,1.6357956980959643,6.801851584310768,41.817894277220375,38.30036231884056,36.78806707543662,29.51329803047194,31.65621999256781,28.109674098848,35.471704013377924,23.17336789297659,23.17336789297659
14.0,45.621749364337994,46.65341156858186,41.794639699459424,40.30795198759942,45.33548013850099,45.316624560926414,40.04023032693636,43.1451443687765,5.1452880589487195,14.252766119387587,10.304733863800488,6.8557581474787845,1.6825716631196055,4.309372106725152,1.6640169066823578,6.808608482762047,41.83223745819399,38.28428929765885,36.802851170568545,29.514031772575244,31.662409698996644,28.11230100334447,35.47426254180601,23.186053511705687,23.186053511705687
16.0,45.699480999551824,46.77483980675252,41.91643663639656,40.36967682939905,45.36504999962348,45.36756522055229,40.07502828079629,43.22330651175273,5.255039917708573,14.292657564603545,10.263433104790252,6.852051245911294,1.7191829145808628,4.254040411934644,1.6949901751677265,6.707018130774924,41.84675250836121,38.26994983277591,36.81600668896319,29.51401672240802,31.667956521739118,28.114478260869554,35.476478260869555,23.198020066889633,23.198020066889633
18.0,45.774572329805885,46.89469046067997,42.03569109120485,40.430874286837025,45.393362119945806,45.41741040513397,40.107837383948926,43.30065457046422,5.171659016393443,14.222131147540983,10.322422950819671,6.928781967213115,1.733939344262295,4.184095081967213,1.652227868852459,6.880268852459016,41.86143942772204,38.25734392419174,36.827533630620565,29.513252879970263,31.67286046079523,28.11620587142325,35.47835117056855,23.209267558528428,23.209267558528428
