t_s,Tm_ELBOW,Tm_J1,Tm_J2,Tm_PITCH,Tm_ROLL,Tm_TWIST,Tm_YAW,P_ELBOW,P_J1,P_J2,P_PITCH,P_ROLL,P_TWIST,P_YAW,Ts_humerus_u,Ts_humerus_l,Ts_forearm_u,Ts_forearm_l,Ts_wrist,Ts_hand,T_amb
0.0,25.814531551062068,31.469085207813436,,,,26.45620702080239,,59.87260726575724,59.87826391263161,0.0,0.0,0.0,60.15181476623521,0.0,22.144675213675207,22.391025641025642,22.06441880341881,22.059846153846145,26.086957264957267,27.136547008547012,21.482786324786325
2.0,27.532515524552277,32.30963605971014,,,,28.160180793108523,,60.1642499132259,59.87008640023805,0.0,0.0,0.0,60.31096817634758,0.0,22.15594871794871,22.409923076923075,22.06906410256411,22.077615384615378,26.12071794871795,27.173871794871797,21.479205128205127
4.0,29.20289176239267,33.13807197673695,,,,29.816429332394737,,60.540762965364614,60.13489083233814,0.0,0.0,0.0,60.6895289723221,0.0,22.166407469342246,22.427496655518393,22.07410981047938,22.094481605351163,26.1534994425864,27.210604793756968,21.475778149386844
6.0,30.825660264583252,33.95439295889387,,,,31.424952638661026,,61.0500837247644,60.583168872840226,0.0,0.0,0.0,60.91365503781207,0.0,22.17605146785581,22.443746376811593,22.079555927164627,22.1104448160535,26.18530174656262,27.246746005202528,21.472505388331474
8.0,32.40082103112402,34.758599006180894,,,,32.98575071190739,,61.33839960314496,60.56723695542303,0.0,0.0,0.0,61.48737684265115,0.0,22.184880713489402,22.45867224080267,22.085402452619846,22.1255050167224,26.2161248606466,27.28229542920847,21.46938684503902
10.0,33.928374062014974,35.55069011859803,,,,34.49882355213384,,61.6802461502816,61.048933529167776,0.0,0.0,0.0,61.81914612306137,0.0,22.192895206243026,22.472274247491633,22.09164938684504,22.13966220735785,26.24596878483835,27.317253065774803,21.466422519509475
12.0,35.40831935725612,36.33066629614527,,,,35.96417115934037,,62.04006666666667,60.8563,0.0,0.0,0.0,62.11253333333333,0.0,22.20009494611668,22.484552396878478,22.098296729840207,22.152916387959856,26.274833519137868,27.351618914901522,21.463612411742847
14.0,36.84065691684744,37.098527538822616,,,,37.38179353352697,,62.36351809391981,61.16239850336531,0.0,0.0,0.0,62.45312664122962,0.0,22.206479933110362,22.495506688963204,22.10534448160535,22.16526755852842,26.30271906354515,27.385392976588626,21.460956521739128
16.0,38.225386740788956,37.85427384663007,,,,38.75169067469365,,62.58737678232062,61.30170309696848,0.0,0.0,0.0,62.784569976253806,0.0,22.21205016722407,22.50513712374581,22.112792642140466,22.176715719063534,26.3296254180602,27.418575250836117,21.458454849498324
18.0,39.562508829080656,38.597905219567636,,,,40.073862582840405,,63.170141634199275,61.492696537674405,0.0,0.0,0.0,63.09406854524509,0.0,22.216805648457814,22.5134437012263,22.120641211445555,22.187260869565208,26.355552582683018,27.451165737643993,21.456107395020435
20.0,40.852023181722544,39.32942165763531,,,,41.34830925796724,,63.327613073664,61.828951949056,0.0,0.0,0.0,63.271738040064,0.0,22.220746376811583,22.52042642140467,22.12889018952062,22.196903010033434,26.3805005574136,27.48316443701226,21.45391415830546
22.0,42.09392979871461,40.04882316083308,,,,42.57503070007415,,63.56859696820814,61.79129545198898,0.0,0.0,0.0,63.54409391185061,0.0,22.223872352285387,22.526085284280924,22.137539576365658,22.205642140468218,26.40446934225195,27.51457134894091,21.451875139353394
24.0,43.28822868005683,40.75610972916093,,,,43.754026909161105,,63.9334000704,61.84579544131765,0.0,0.0,0.0,63.91890287912157,0.0,22.226183574879204,22.530420289855048,22.146589371980653,22.213478260869547,26.427458937198043,27.54538647342993,21.449990338164227
26.0,44.47585157920497,41.49088350696038,,,,44.91964396059575,,64.20152103555704,62.08781059435393,0.0,0.0,0.0,64.27356486498626,0.0,22.225971014492732,22.531217391304327,22.153797101449253,22.217647342995146,26.443700483091764,27.57315942028983,21.44535265700481
28.0,45.587340278401534,42.197953786922234,,,,46.00997806389735,,64.19980154414446,62.40146772436834,0.0,0.0,0.0,64.53503282344545,0.0,22.223545893719788,22.528932367149736,22.160724637681138,22.218830917874374,26.45676328502413,27.600352657004805,21.439299516908193
