t_s,Tm_ELBOW,Tm_J1,Tm_J2,Tm_PITCH,Tm_ROLL,Tm_TWIST,Tm_YAW,P_ELBOW,P_J1,P_J2,P_PITCH,P_ROLL,P_TWIST,P_YAW,Ts_humerus_u,Ts_humerus_l,Ts_forearm_u,Ts_forearm_l,Ts_wrist,Ts_hand,T_amb
0.0,69.11707209397596,63.64433235991951,87.49998828547321,69.94745476203198,66.56105189768513,64.13988020759076,65.40856915823305,12.44541755215833,4.8122851744424775,22.089371668983688,7.953629056108944,1.0636940437596853,3.983340539729357,1.6507780566254917,42.48447863247861,47.25927350427352,44.15647008547008,38.1088205128205,63.633136752136764,60.281854700854694,23.02588034188034
2.0,69.41156245106401,63.70656958174929,88.071494645827,70.18936577522001,66.59297246975069,64.23692830262985,65.45267444183138,12.44199311195089,5.1393790248037385,21.859755251190073,8.06318521047687,1.065448352054451,3.8990674324160683,1.6589764238976112,42.48397435897434,47.24808974358976,44.1440641025641,38.10273076923076,63.64114102564103,60.26429487179487,23.02802564102564
4.0,69.69751969376756,63.766952804719104,88.62690527017891,70.42312237545136,66.62382119623261,64.33145485647486,65.49509578254906,12.487743304064297,5.156138774138418,21.880285114421426,8.031635342107249,1.0750768542606863,3.9242171735993527,1.65874863099249,42.48292196209586,47.237274804905255,44.132629877369006,38.09740468227424,63.65073021181717,60.2476900780379,23.030153288740244
6.0,69.97494382208659,63.82548202882893,89.16622015852896,70.64872456272599,66.6535980771309,64.42345986912578,65.53583318038608,12.47147972065824,5.103039660420242,21.83509860222986,8.050861488127136,1.0611232265383752,3.9362991505199347,1.6489975024656942,42.481321441843164,47.22682868822001,44.1221674098848,38.092842251950934,63.66190431066518,60.23204031958379,23.032263285024154
8.0,70.2438348360211,63.882157254078784,89.6894393108771,70.86617233704393,66.68230311244557,64.51294334058261,65.57488663534244,12.532211221086841,5.128767729915778,21.915240998011882,8.011923690623798,1.0408256356620653,3.9023019450382668,1.6564266329257378,42.47917279821626,47.21675139353402,44.112676700111486,38.089043478260855,63.674663322185054,60.217345596432544,23.034355629877368
10.0,70.50419273557108,63.93697848046865,90.1965627272234,71.07546569840518,66.70993630217659,64.59990527084534,65.61225614741814,12.537577827361782,5.1719407246074445,21.98578009327719,8.013019909387065,1.0543447965649406,3.904733936630152,1.66976018092984,42.47647603121514,47.20704292084728,44.104157748049055,38.086008361204,63.6890072463768,60.20360590858416,23.036430323299886
12.0,70.75601752073656,63.98994570799855,90.68759040756778,71.27660464680973,66.73649764632398,64.684345659914,65.64794171661319,12.477160867020643,5.161516101224895,22.09677846447994,8.016532203496249,1.0624836490538847,3.916389182609663,1.6623411265632781,42.47323114083982,47.1977032701598,44.09661055369751,38.083736900780366,63.70493608324042,60.19082125603864,23.038487365291708
14.0,70.99930919151753,64.04105893666846,91.16252235191031,71.46958918225758,66.76198714488775,64.76626450778858,65.68194334292758,12.497114079742454,5.111907394150503,22.075995775162976,8.04138943562173,1.0587869721239438,3.9235922543130783,1.6284707767629778,42.469438127090285,47.18873244147158,44.09003511705686,38.082229096989956,63.7224498327759,60.17899163879598,23.040526755852838
16.0,71.23406774791397,64.09031816647841,91.62135856025095,71.65441930474874,66.78640479786789,64.84566181446905,65.71426102636131,12.555829739382842,5.125086175032961,22.06308637532654,8.038768724248037,1.066189705248662,3.908963848867585,1.6105951246195485,42.46509698996654,47.18013043478261,44.08443143812709,38.08148494983276,63.741548494983256,60.168117056856175,23.042548494983272
18.0,71.4602931899259,64.13772339742836,92.06409903258971,71.8310950142832,66.80975060526438,64.92253757995546,65.7448947669144,12.533840077263616,5.18473769840159,22.064950271308074,8.069435173400421,1.0766021285241645,3.920467341441816,1.6312132616617758,42.46020772946858,47.171897250092904,44.07979951690821,38.081504459308796,63.76223206986248,60.15819751021924,23.04455258268301
