t_s,Tm_J1,P_J1,Tm_J2,P_J2,Tm_TWIST,P_TWIST,Tm_ELBOW,P_ELBOW,Tm_ROLL,P_ROLL,Tm_PITCH,P_PITCH,Tm_YAW,P_YAW,Ts_humerus_u,Ts_forearm_u,Ts_humerus_l,Ts_forearm_l,Ts_wrist,Ts_hand,T_amb,T_torso
20.0,39.64092929009205,10.664832852372822,35.074325957995626,7.656760090283567,34.168479036614166,12.826623602461725,35.015711488522975,12.077965458951416,40.42676455442903,11.566988483908952,44.32014945677206,8.525013091600078,46.26663747133216,10.750710718368932,25.205049997575,25.505049997575,25.65,27.5,39.31009999515,40.955049997575,23.35,30.613429621482734
22.0,39.861403127780186,10.669955053507376,35.232418947952866,7.692528694808986,34.436876660762834,12.76470598175318,35.264489943692084,12.043135117318885,40.73280158535171,11.70303999554588,44.53067765362362,8.438986799823967,46.539903908793995,10.766716597681013,25.25,25.55,25.65,27.494950002425,39.405049997575,41.01009999515,23.35,30.6230801062036
24.0,39.95755717989886,10.530270434924851,35.383280315837936,7.707154395021382,34.69067853552218,12.827939238600807,35.49460611020536,12.108502799218629,41.01647168196156,11.72528979957283,44.737697280005094,8.588194854576763,46.803508144581514,10.745927727633172,25.244950002425,25.55,25.655049997575,27.45,39.46009999515,41.105049997575,23.344950002425,30.632730590924464
26.0,40.125751776474,10.652639166583446,35.53103630600251,7.65734228293779,34.9304569380815,12.939639337840854,35.70812666036043,12.129770435340772,41.292975319666006,11.710374197488886,44.92066298640197,8.551217916767834,47.03734950283517,10.840143837727558,25.2,25.55,25.694950002425,27.45,39.55,41.16009999515,23.3,30.642381075645332
28.0,40.13862408780931,10.665114066634215,35.66313908025755,7.685697296125805,35.14904583839547,12.85986145336751,35.90782299407832,12.12813903825629,41.546873372957414,11.732622537405836,45.09891471206624,8.531190899068436,47.26757837596684,10.8293107261167,25.2,25.55,25.65,27.45,39.555049997575,41.26009999515,23.305049997575,30.652031560366197
30.0,40.40037528081216,10.707143286037534,35.78816542340801,7.667371719022945,35.3456018864757,12.90176802075,36.097966610484654,12.105021766090468,41.794487872487515,11.74667379117856,45.272616303264606,8.580849001331332,47.48946379631222,10.748914313747145,25.2,25.55,25.655049997575,27.444950002425,39.61009999515,41.355049997575,23.344950002425,30.661682045087062
32.0,40.39315328880664,10.692779262479842,35.90268560533467,7.651376473047064,35.5253259911481,12.834754387613778,36.27963290462632,12.15300036863172,42.033940668080646,11.71575112817864,45.431603991378246,8.52050251128223,47.700173800331115,10.757153915595351,25.2,25.55,25.7,27.4,39.705049997575,41.415149992725,23.305049997575,30.671332529807927
34.0,40.51554827689286,10.80202248997458,36.02197353888229,7.662671200944318,35.70895442877304,12.908518207514057,36.45396765995008,12.154920681164777,42.26090517045092,11.672399946955716,45.584731980674455,8.569945277070971,47.90019793723665,10.777662564284311,25.2,25.55,25.7,27.4,39.76009999515,41.565149992725,23.35,30.680983014528795
36.0,40.73633182914466,10.596767150153168,36.13100200389909,7.694815434935776,35.88615244764163,12.93651955284942,36.618502212429846,12.118971182952729,42.476171668562685,11.788320238531888,45.73693526287005,8.507160890761805,48.095182704490725,10.83490961577366,25.2,25.55,25.7,27.394950002425,39.855049997575,41.71009999515,23.35,30.69063349924966
38.0,40.72172649314537,10.71545523010524,36.23157474851881,7.676002699679035,36.05030598611289,13.045527973714083,36.76700759497295,12.16105381121171,42.68349450431729,11.814569600347772,45.88103560780381,8.592860471592719,48.28001722310429,10.84492862148784,25.194950002425,25.55,25.7,27.35,39.91009999515,41.805049997575,23.344950002425,30.700283983970525
