t_s,Tm_ELBOW,Tm_J1,Tm_J2,Tm_PITCH,Tm_ROLL,Tm_TWIST,Tm_YAW,P_ELBOW,P_J1,P_J2,P_PITCH,P_ROLL,P_TWIST,P_YAW,Ts_humerus_u,Ts_humerus_l,Ts_forearm_u,Ts_forearm_l,Ts_wrist,Ts_hand,T_amb
0.0,35.89537662686163,45.84248907386076,41.322498214371116,48.17547005998702,40.163376093347296,36.05860252805199,46.80589049273797,10.702698236031976,27.03054310040419,25.564862123131892,53.06221339877698,132.3428060821867,27.079746954664216,134.9761001061931,27.335282051282046,27.872700854700856,27.627914529914527,31.221965811965834,48.96143589743589,47.649333333333324,22.37252991452991
2.0,36.666738368055526,46.208703554222005,42.103394780624946,55.78045831727993,47.241310087676986,36.82263169487772,53.958354002467786,27.65314367317247,28.112745082753033,28.230979655021862,137.7713547502769,133.90091553738625,27.697050402280162,136.94246623577652,27.343846153846147,27.919179487179488,27.645205128205127,31.290128205128223,49.91853846153845,48.48976923076922,22.365743589743584
4.0,37.41632282845537,46.56965672804838,42.86232450845075,62.91598071844705,53.95828318570653,37.5643181934428,60.7069176035659,27.757995926991164,28.129800160886745,28.268501504334136,139.71947508142006,135.70534390693012,27.812557524870684,138.97606543960163,27.35304013377926,27.964522853957636,27.66217614269788,31.35492196209589,50.86122073578594,49.32626421404681,22.36051059085841
6.0,38.14413000806117,46.925348595339884,43.599287397848514,69.58203726348839,60.314295387435926,38.28366202374725,67.0515812960323,27.889878220125276,28.054498671153507,28.294970255705504,142.03895647595712,137.96277058683157,27.893839823181267,140.95380849682178,27.362863991081376,28.0087309550353,27.678827573392788,31.416347082868835,51.78948272017836,50.1588182831661,22.35683091787439
8.0,38.850159906872925,47.27577915609652,44.314283448818244,75.77862795240392,66.30934669286518,38.980663185791045,72.992345079867,27.913733955737058,28.294400808479462,28.342739254045497,144.34114647961272,140.32170031611219,27.869948889939124,142.53892574078543,27.3733177257525,28.05180379041248,27.695159420289855,31.474403567447055,52.70332441471571,50.987431438127075,22.35470457079152
10.0,39.53441252489064,47.620948410318285,45.007312661359954,81.50575278519369,71.94343710199426,39.6553216795742,78.52920895506999,27.9626432928316,28.385581381790196,28.395959409723925,146.3656173058061,142.37897466536455,27.98677657494785,144.61689843332604,27.384401337792635,28.09374136008918,27.71117168338907,31.529091415830553,53.60274581939798,51.81210367892975,22.354131549609804
12.0,40.1968878621143,47.96085635800518,45.67837503547362,86.76341176185767,77.21656661482321,40.307637505096714,83.66217292164127,28.04228367993773,28.333562611164385,28.38595459973225,148.38863621257772,144.35482775819725,28.188231454371106,146.95047760617987,27.396114827201774,28.134543664065397,27.72686436269045,31.58041062801933,54.487746934225186,52.63283500557412,22.355111854329238
14.0,40.83758591854392,48.29550299915721,46.32747057115927,91.55160488239584,82.12873523135201,40.93761066235858,88.39123697958085,28.13930581206204,28.481182181276733,28.60941330134204,150.3657005961404,146.63480656300408,28.16205148468245,148.84289778797717,27.408458193979925,28.174210702341128,27.74223745819398,31.628361204013384,55.35832775919731,53.44962541806019,22.357645484949824
16.0,41.456506694179495,48.624888333774365,46.95459926841687,95.87033214680824,86.67994295158066,41.54524115135981,92.71640112888872,28.193231173682136,28.548838304821402,28.84999787360389,152.59648897059242,148.69287873767297,28.17027114853308,151.0170451844701,27.42143143812708,28.21274247491638,27.757290969899664,31.672943143812713,56.214488294314364,54.262474916387944,22.36173244147156
18.0,42.05365018902103,48.94901236185665,47.559761127246446,99.71959355509483,90.87018977550916,42.13052897210039,96.6376653695649,28.155437043933762,28.342085123952558,28.818747094141294,154.88701690262175,150.55509856947694,28.26733418462797,153.20270035240986,27.435034559643245,28.250138981791146,27.772024897807505,31.714156447417317,57.05622853957635,55.071383500557396,22.36737272389445
20.0,42.62901640306851,49.267875083404064,48.14295614764799,103.09938910725566,94.69947570313752,42.693474124580334,100.15502970160935,28.391331730232224,28.32324385196701,29.008216247918302,156.898111579279,152.49683207216117,28.158409860272187,155.25353601054664,27.449267558528415,28.28640022296543,27.7864392419175,31.752001114827202,57.88354849498326,55.87635117056854,22.374566332218496
22.0,43.182605336321956,49.58147649841662,48.70418432962151,106.0097188032907,98.16780073446571,43.23407660879963,103.26849412502212,28.601158446576072,28.432565256175856,29.14399155888019,158.8945317571275,154.55463337960316,28.305175869018193,157.18141218822788,27.464130434782597,28.32152619843923,27.80053400222965,31.786477146042362,58.6964481605351,56.677377926421386,22.38331326644369
24.0,43.71441698878131,49.889816606894264,49.24344567316696,108.45058264319992,101.2751648694937,43.752336424758276,105.97805863980312,28.466075417297926,28.612677327451898,28.855038771138542,161.0499516706239,156.5294235011084,28.574975328554668,159.110133799163,27.479623188405775,28.355516908212536,27.814309178743937,31.81758454106277,59.494927536231835,57.47446376811589,22.393613526570025
26.0,44.241173493950825,50.21296023043096,49.775048426672846,111.0417029165433,105.0024480487205,44.26258493158181,109.07726240617032,28.563103947606173,28.540915696136828,28.831693789156567,162.96694703354612,158.39139767401366,28.53680424623916,161.12552898514062,27.50479227053138,28.39738164251205,27.83252173913041,31.855429951690795,60.49219323671492,58.478811594202845,22.420589371980657
28.0,44.733154046097184,50.52234165945801,50.271708896399126,112.93184041109943,108.12163494947407,44.73756934712357,111.53416954863633,28.57342548742097,28.47370203205532,29.04911529320675,164.74318977620615,159.99845112885944,28.55780285317331,163.20709456020913,27.530879227053113,28.435400966183547,27.842657004830894,31.887140096618324,61.438183574879176,59.450724637681105,22.451864734299498
30.0,45.1948766638511,50.81915509231772,50.7388759592379,114.15068098317012,110.61726587336776,45.18315281459866,113.35853538333542,28.5749874,28.4790366,29.103972799999998,95.8582274,162.0246876,28.6196278,164.8482388,27.55130434782606,28.470570048309153,27.85743961352654,31.911652173913012,62.32875362318835,60.373478260869504,22.480038647342976
32.0,45.62983182887861,51.10625838833914,51.18029947089397,114.71658776223302,112.46903959738114,45.602732564106624,114.55328279162589,28.599925600301702,28.52482964377809,29.138532791229295,0.0007584441175084079,164.34178761727662,28.628802120262268,96.86276726138242,27.571487922705284,28.501439613526543,27.869053140096593,31.931555555555526,63.153169082125544,61.24896618357482,22.50605797101447
34.0,46.04184818714358,51.385328968397005,51.599211616571424,114.65439541761849,113.66650574623198,45.9985580323852,115.12672678243935,28.652028634941935,28.459762745870968,29.17899415179355,0.01274747889032258,97.63767842098063,28.575445507496774,0.0170467728516129,27.590753623188377,28.52900483091785,27.88666666666664,31.94953623188403,63.90296618357482,62.05210628019317,22.524676328502395
36.0,46.43294113897211,51.654270362702945,51.998149040893296,114.00141825931064,114.21221903072708,46.37347315852154,115.09492012573665,28.57948838109091,28.672433628625452,29.294254690094547,0.019088536203636364,0.0,28.713121867403636,0.02769959703272727,27.605980676328475,28.551913043478233,27.89649275362316,31.956280193236683,64.56614492753617,62.77942028985501,22.534106280193214
38.0,46.804484122887956,51.915559560749266,52.378172307583576,112.8005728051225,114.11263616024922,46.72884738021693,114.48888184735486,28.69139994740828,28.653783398380316,29.39359446489678,0.0027837406925483314,0.0,28.80056308947194,0.004885436561729645,27.620048309178713,28.573768115942,27.904048309178716,31.95822222222219,65.13091787439608,63.41656038647337,22.54211594202896
40.0,47.159200475888134,52.170951046494736,52.74155045239838,111.11694640679794,113.39975592900527,47.06692959900375,113.35585970917552,28.83958268561192,28.580380721405216,29.353256253292592,0.0009860716167196745,4.139283832803254e-05,28.815679747249288,0.0002655713533121302,27.632183574879196,28.59347826086954,27.916057971014464,31.953352657004796,65.61251207729462,63.984637681159356,22.548028985507223
42.0,47.49824959144789,52.42096951060954,53.08975493938088,109.02889559007954,112.12027497475401,47.3896590246049,111.752581119227,28.86093958216561,28.690291676456248,29.378604187443788,0.006484780302171541,5.888661957992202e-05,28.67624463790445,0.000541113380420078,27.645265700483062,28.61249275362316,27.922386473429928,31.945758454106247,65.99290821256032,64.4583091787439,22.552473429951668
44.0,47.821841040299944,52.665699455002006,53.42329606796617,106.61781648485625,110.32344250958027,47.6971392960291,109.74357626718717,28.78152950652327,28.695567304928453,29.40947159173331,0.008899300773661882,4.2286571988846425e-05,28.712232654888624,0.0004731402840334607,27.653729468599003,28.627497584541036,27.92864734299514,31.933526570048276,66.28865700483085,64.82984541062795,22.556173913043455
46.0,48.13212353771792,52.902172909200004,53.74418718776448,103.98369324480541,108.08216479476827,47.99027682839196,107.41375042369762,28.831692352941175,28.754596274509804,29.447947843137257,0.00017588235294117646,5.8627450980392156e-05,28.856120392156864,0.0002586274509803921,27.664106280193206,28.64127536231881,27.938106280193207,31.92328502415456,66.50268599033811,65.12368115942023,22.559951690821233
