t_s,Tm_ELBOW,Tm_J1,Tm_J2,Tm_PITCH,Tm_ROLL,Tm_TWIST,Tm_YAW,P_ELBOW,P_J1,P_J2,P_PITCH,P_ROLL,P_TWIST,P_YAW,Ts_humerus_u,Ts_humerus_l,Ts_forearm_u,Ts_forearm_l,Ts_wrist,Ts_hand,T_amb
0.0,60.94134247259285,58.93390812152999,76.81905955160042,65.06655016097227,57.305766348830126,53.590463852056054,60.2684172152906,12.787428245489956,5.080053212335964,21.148815957741164,7.921855388336108,1.0268798446411505,3.763899015328432,1.6619746635722057,38.53052136752139,40.85111965811964,39.23940170940168,34.96102564102564,59.3604358974359,55.82423076923074,23.244376068376074
2.0,61.25015553286663,58.98949196026319,77.29581766237388,65.28877359743757,57.34809854073933,53.69763461437945,60.31854890594372,12.151211488926338,5.097221378709523,21.20538906071918,7.934430319540918,1.0279140360622396,3.7914262738077107,1.6358363637235493,38.51102564102566,40.83835897435896,39.25808974358972,34.95965384615385,59.36688461538461,55.83896153846151,23.26512820512821
4.0,61.54870882268885,59.04450649861542,77.75952500571768,65.5036210616995,57.38940007670646,53.8016944390791,60.36728314126428,12.22021465580951,5.079062662346571,21.158007776912957,7.9289156030606165,1.0345365902890746,3.7969676969582578,1.6404170987719784,38.49381716833892,40.82763099219619,39.276346711259734,34.96042809364549,59.375693979933104,55.85347491638793,23.28360423634337
6.0,61.83700234205952,59.09895173658669,78.21018158163182,65.71109255375806,57.42967095673151,53.902643326155,60.41461992125228,12.23105351035163,5.006881794998963,21.14702943852168,7.923315245492302,1.0282187061267831,3.78046168492924,1.6224649447179975,38.47889594946118,40.81893571163135,39.29417261241172,34.96334838350056,59.38686399108138,55.867770903010005,23.299804162021555
8.0,62.115036090978634,59.152827674177,78.64778739011629,65.91118807361327,57.468911180814494,54.00048127560716,60.46055924590771,12.205016168047905,4.976797304258683,21.19550239337006,7.890605838639521,1.032673951833932,3.7966419138427145,1.6164410173956087,38.46626198439243,40.812273132664416,39.31156744704569,34.968414715719064,59.400394648829426,55.88184949832773,23.313727982162764
10.0,62.382810069446194,59.20613431138634,79.07234243117111,66.10390762126512,57.5071207489554,54.09520828743556,60.50510111523058,12.1690320022016,5.0527587457920005,21.1965055024384,7.8757740006912,1.038878749888,3.8146020018176,1.6110675011839999,38.455915273132675,40.80764325529541,39.32853121516163,34.975627090301,59.416285953177244,55.89571070234111,23.325375696767
12.0,62.6403242774622,59.25887164821472,79.48384670479626,66.2892511967136,57.544299661154234,54.18682436164022,60.54824552922089,12.145538584339223,5.072606926682009,21.146521826653185,7.905104815035177,1.0268661320723695,3.783877521234,1.592159106766775,38.44785581568191,40.805046079524324,39.34506391675956,34.98498550724638,59.434537904124845,55.90935451505014,23.33474730583426
14.0,62.88757871502664,59.311039684662134,79.88230021099176,66.46721879995872,57.58044791741099,54.27532949822114,60.58999248787863,12.191979136393574,5.0098169899943805,21.139796721355882,7.947382562876743,1.0139794338775379,3.802487183810422,1.606462146399194,38.44208361204014,40.80448160535115,39.36116555183945,34.99648996655519,59.45515050167223,55.92278093645482,23.341842809364547
16.0,63.12457338213954,59.36263842072859,80.26770294975759,66.63781043100047,57.61556551772568,54.3607236971783,60.630341991203814,12.224282604303777,5.078598463096621,21.194241753510934,7.926807703716898,1.0236926939355866,3.835509146007157,1.6183559142807158,38.43859866220736,40.8059498327759,39.37683612040132,35.010140468227426,59.47812374581938,55.935989966555155,23.346662207357856
18.0,63.35130827880087,59.41366785641408,80.64005492109376,66.80102608983886,57.64965246209829,54.443006958511724,60.66929403919643,12.27149076680482,5.1124582802891565,21.32976652086747,7.930972540568675,1.0223447788722893,3.827894325474699,1.6273851415903615,38.43740096618358,40.809450761798566,39.39207562244518,35.0259370122631,59.50345763656632,55.94898160535114,23.34920549981419
